country,country_long,region,continent,latitude,longitude,rural_land,urban_land,population,rural_population,urban_population,democracy_score,democracy_type
Guyana,Co-operative Republic of Guyana,South America,Americas,5.0,-59.0,209904.0,165.726,808726,590192,218534,6.67,Flawed democracy
Haiti,Republic of Haiti,Caribbean,Americas,19.0,-72.41666666,25688.1,1326.1,11584996,4770701,6814295,4.91,Hybrid regime
Honduras,Republic of Honduras,Central America,Americas,15.0,-86.5,110411.0,1576.93,10432860,4214875,6217985,5.63,Hybrid regime
Hungary,Hungary,Eastern Europe,Europe,47.0,20.0,87565.2,3928.83,9683505,2657928,7025577,6.63,Flawed democracy
Iceland,Republic of Iceland,Northern Europe,Europe,65.0,-18.0,88792.0,107.56,381900,22945,358955,9.58,Full democracy
India,Republic of India,Southern Asia,Asia,20.0,77.0,2956470.0,171839.0,1417173173,908804812,508368361,7.23,Flawed democracy
Indonesia,Republic of Indonesia,South-Eastern Asia,Asia,-5.0,120.0,1820840.0,67755.1,275501339,115892393,159608946,6.39,Flawed democracy
Iran,Islamic Republic of Iran,Southern Asia,Asia,32.0,53.0,1601050.0,16217.1,88550570,20537534,68013036,2.45,Authoritarian
Iraq,Republic of Iraq,Western Asia,Asia,33.0,44.0,434270.0,6572.97,44496122,12746359,31749763,4.06,Hybrid regime
Ireland,Ireland,Northern Europe,Europe,53.0,-8.0,67698.2,1261.39,5086988,1822006,3264982,9.15,Full democracy
Israel,State of Israel,Western Asia,Asia,31.5,34.75,19195.2,2743.73,9550600,691177,8859423,7.79,Flawed democracy
Italy,Italian Republic,Southern Europe,Europe,42.83333333,12.83333333,277071.0,20916.7,58856847,16681796,42175051,7.71,Flawed democracy
Jamaica,Jamaica,Caribbean,Americas,18.25,-77.5,10006.2,1022.33,2827377,1215546,1611831,7.02,Flawed democracy
Japan,Japan,Eastern Asia,Asia,36.0,138.0,316736.0,53452.1,125124989,10066305,115058684,7.99,Flawed democracy
Jordan,Hashemite Kingdom of Jordan,Western Asia,Asia,31.0,36.0,86673.4,2170.09,11285869,922394,10363475,3.93,Authoritarian
Kazakhstan,Republic of Kazakhstan,Central Asia,Asia,48.0,68.0,2636600.0,6363.39,19621972,8243190,11378782,2.94,Authoritarian
Kenya,Republic of Kenya,Eastern Africa,Africa,1.0,38.0,579896.0,3416.84,54027487,38358435,15669052,5.11,Hybrid regime
Kiribati,Republic of Kiribati,Micronesia,Oceania,1.41666666,173.0,907.557,5.18751,131232,56354,74878,0.0,Unknown
Korea,Republic of Korea,Eastern Asia,Asia,37.0,127.5,86793.4,12473.4,51628117,9588890,42039227,8.0,Flawed democracy
Kuwait,State of Kuwait,Western Asia,Asia,29.5,45.75,16647.7,772.942,4268873,0,4268873,3.85,Authoritarian
Kyrgyz Republic,Kyrgyz Republic,Central Asia,Asia,41.0,75.0,186901.0,2136.34,6803300,4254716,2548584,5.11,Hybrid regime
Lao PDR,Lao People's Democratic Republic,South-Eastern Asia,Asia,18.0,105.0,228354.0,542.173,7529475,4698995,2830480,2.37,Authoritarian
Latvia,Republic of Latvia,Northern Europe,Europe,57.0,25.0,62761.7,676.268,1883379,592511,1290868,7.38,Flawed democracy
Lebanon,Lebanese Republic,Western Asia,Asia,33.83333333,35.83333333,8546.2,1871.97,5489739,589488,4900251,4.63,Hybrid regime
Lesotho,Kingdom of Lesotho,Southern Africa,Africa,-29.5,28.5,30172.3,249.942,2305825,1615392,690433,6.64,Flawed democracy
Liberia,Republic of Liberia,Western Africa,Africa,6.5,-9.5,95557.6,652.556,5302681,2488813,2813868,5.35,Hybrid regime
Libya,Socialist People's Libyan Arab Jamahiriya,Northern Africa,Africa,25.0,17.0,1619020.0,2958.15,6812341,1273772,5538569,2.19,Authoritarian
Liechtenstein,Principality of Liechtenstein,Western Europe,Europe,47.26666666,9.53333333,117.014,38.3559,39327,33610,5717,0.0,Unknown
Lithuania,Republic of Lithuania,Northern Europe,Europe,56.0,24.0,62585.3,1185.85,2833000,893387,1939613,7.5,Flawed democracy
